AVGGIFT,HV1_log,IC1_transformed,IC5_transformed,gender
8.714285714,7.209011094,17.66610304,4.166267899,Male
16.5,9.317830571,17.35830989,4.224619983,Male
15.1,8.402446681,14.62744719,4.186321733,Male
4.848484849,6.44011426,12.27063366,4.144954137,Female
19,8.607768843,17.9778225,4.280957726,Female
11.66666667,7.039170702,14.50267386,4.160055631,Male
5.375,7.536302305,17.9359297,4.208644002,Female
12.85714286,8.195978603,16.85227869,4.247454006,Female
5.625,7.636483209,13.91474578,4.218637597,Female
11.44444444,9.169356191,20.46905603,4.258272146,Male
4.25,7.413348155,16.465106,4.191293809,Male
6.888888889,7.212016327,16.29853151,4.190000222,Male
12.22222222,7.081376208,13.49566852,4.102710064,Female
5,6.954806491,14.31167001,4.17073429,Female
13,8.304127107,16.21401371,4.131385557,Female
7.083333333,7.199991868,16.62852505,4.219088196,Male
10.33333333,7.404858094,14.99030523,4.111453933,Female
8,7.881176502,16.993168,4.213360422,Female
10,7.107933154,15.00998552,4.147167237,Male
10.66666667,6.718785042,12.2420799,4.116602264,Male
20,8.850537382,16.85227869,4.263226968,Male
22.5,8.277738724,13.86932951,4.130146425,Female
6.142857143,7.691898368,16.9464542,4.18805434,Male
6.75,7.538726549,14.13781194,4.183536881,Male
10.16666667,6.848911854,14.13781194,4.137276838,Female
7.142857143,7.06578135,14.29015237,4.113126279,Male
25,10.56778684,15.93775998,4.119650875,Female
20,8.194624585,15.14640994,4.152942824,U
11.33333333,7.500290125,16.04241601,4.145239471,Male
14,8.566788752,15.33738126,4.231799888,Male
8.9,6.931407615,13.98235979,4.134111276,Female
